Hemisphere,Year,Month,Fah.,Anomaly_type,Fah.a,Date,,
Global,1880,1,-0.17,J-D,-0.16,1880-1-1,-,1
Global,1881,1,-0.18,J-D,-0.07,1881-1-1,-,1
Global,1882,1,0.18,J-D,-0.1,1882-1-1,-,1
Global,1883,1,-0.28,J-D,-0.16,1883-1-1,-,1
Global,1884,1,-0.12,J-D,-0.28,1884-1-1,-,1
Global,1885,1,-0.58,J-D,-0.32,1885-1-1,-,1
Global,1886,1,-0.43,J-D,-0.31,1886-1-1,-,1
Global,1887,1,-0.71,J-D,-0.35,1887-1-1,-,1
Global,1888,1,-0.33,J-D,-0.17,1888-1-1,-,1
Global,1889,1,-0.08,J-D,-0.1,1889-1-1,-,1
Global,1890,1,-0.41,J-D,-0.35,1890-1-1,-,1
Global,1891,1,-0.34,J-D,-0.22,1891-1-1,-,1
Global,1892,1,-0.28,J-D,-0.27,1892-1-1,-,1
Global,1893,1,-0.81,J-D,-0.31,1893-1-1,-,1
Global,1894,1,-0.52,J-D,-0.3,1894-1-1,-,1
Global,1895,1,-0.4,J-D,-0.22,1895-1-1,-,1
Global,1896,1,-0.21,J-D,-0.11,1896-1-1,-,1
Global,1897,1,-0.15,J-D,-0.11,1897-1-1,-,1
Global,1898,1,-0.01,J-D,-0.26,1898-1-1,-,1
Global,1899,1,-0.15,J-D,-0.17,1899-1-1,-,1
Global,1900,1,-0.35,J-D,-0.07,1900/1/1,-,1
Global,1901,1,-0.21,J-D,-0.15,1901/1/1,-,1
Global,1902,1,-0.17,J-D,-0.27,1902/1/1,-,1
Global,1903,1,-0.22,J-D,-0.36,1903/1/1,-,1
Global,1904,1,-0.62,J-D,-0.46,1904/1/1,-,1
Global,1905,1,-0.34,J-D,-0.26,1905/1/1,-,1
Global,1906,1,-0.27,J-D,-0.22,1906/1/1,-,1
Global,1907,1,-0.42,J-D,-0.38,1907/1/1,-,1
Global,1908,1,-0.44,J-D,-0.42,1908/1/1,-,1
Global,1909,1,-0.71,J-D,-0.48,1909/1/1,-,1
Global,1910,1,-0.41,J-D,-0.43,1910/1/1,-,1
Global,1911,1,-0.61,J-D,-0.43,1911/1/1,-,1
Global,1912,1,-0.24,J-D,-0.35,1912/1/1,-,1
Global,1913,1,-0.39,J-D,-0.34,1913/1/1,-,1
Global,1914,1,0.06,J-D,-0.15,1914/1/1,-,1
Global,1915,1,-0.2,J-D,-0.13,1915/1/1,-,1
Global,1916,1,-0.11,J-D,-0.35,1916/1/1,-,1
Global,1917,1,-0.57,J-D,-0.45,1917/1/1,-,1
Global,1918,1,-0.47,J-D,-0.29,1918/1/1,-,1
Global,1919,1,-0.2,J-D,-0.27,1919/1/1,-,1
Global,1920,1,-0.24,J-D,-0.27,1920/1/1,-,1
Global,1921,1,-0.04,J-D,-0.18,1921/1/1,-,1
Global,1922,1,-0.32,J-D,-0.28,1922/1/1,-,1
Global,1923,1,-0.27,J-D,-0.26,1923/1/1,-,1
Global,1924,1,-0.22,J-D,-0.27,1924/1/1,-,1
Global,1925,1,-0.38,J-D,-0.22,1925/1/1,-,1
Global,1926,1,0.21,J-D,-0.1,1926/1/1,-,1
Global,1927,1,-0.27,J-D,-0.21,1927/1/1,-,1
Global,1928,1,-0.01,J-D,-0.2,1928/1/1,-,1
Global,1929,1,-0.44,J-D,-0.36,1929/1/1,-,1
Global,1930,1,-0.29,J-D,-0.16,1930/1/1,-,1
Global,1931,1,-0.1,J-D,-0.09,1931/1/1,-,1
Global,1932,1,0.15,J-D,-0.16,1932/1/1,-,1
Global,1933,1,-0.23,J-D,-0.29,1933/1/1,-,1
Global,1934,1,-0.21,J-D,-0.12,1934/1/1,-,1
Global,1935,1,-0.33,J-D,-0.2,1935/1/1,-,1
Global,1936,1,-0.27,J-D,-0.15,1936/1/1,-,1
Global,1937,1,-0.07,J-D,-0.03,1937/1/1,-,1
Global,1938,1,0.08,J-D,0,1938/1/1,-,1
Global,1939,1,-0.05,J-D,-0.02,1939/1/1,-,1
Global,1940,1,0,J-D,0.13,1940/1/1,-,1
Global,1941,1,0.18,J-D,0.18,1941/1/1,-,1
Global,1942,1,0.29,J-D,0.07,1942/1/1,-,1
Global,1943,1,-0.01,J-D,0.09,1943/1/1,-,1
Global,1944,1,0.36,J-D,0.2,1944/1/1,-,1
Global,1945,1,0.1,J-D,0.09,1945/1/1,-,1
Global,1946,1,0.15,J-D,-0.07,1946/1/1,-,1
Global,1947,1,-0.07,J-D,-0.03,1947/1/1,-,1
Global,1948,1,0.06,J-D,-0.11,1948/1/1,-,1
Global,1949,1,0.07,J-D,-0.11,1949/1/1,-,1
Global,1950,1,-0.26,J-D,-0.17,1950/1/1,-,1
Global,1951,1,-0.34,J-D,-0.07,1951/1/1,-,1
Global,1952,1,0.12,J-D,0.01,1952/1/1,-,1
Global,1953,1,0.07,J-D,0.08,1953/1/1,-,1
Global,1954,1,-0.24,J-D,-0.13,1954/1/1,-,1
Global,1955,1,0.13,J-D,-0.14,1955/1/1,-,1
Global,1956,1,-0.12,J-D,-0.19,1956/1/1,-,1
Global,1957,1,-0.09,J-D,0.05,1957/1/1,-,1
Global,1958,1,0.39,J-D,0.06,1958/1/1,-,1
Global,1959,1,0.08,J-D,0.03,1959/1/1,-,1
Global,1960,1,0,J-D,-0.03,1960/1/1,-,1
Global,1961,1,0.07,J-D,0.06,1961/1/1,-,1
Global,1962,1,0.05,J-D,0.03,1962/1/1,-,1
Global,1963,1,-0.03,J-D,0.05,1963/1/1,-,1
Global,1964,1,-0.09,J-D,-0.2,1964/1/1,-,1
Global,1965,1,-0.08,J-D,-0.11,1965/1/1,-,1
Global,1966,1,-0.19,J-D,-0.06,1966/1/1,-,1
Global,1967,1,-0.07,J-D,-0.02,1967/1/1,-,1
Global,1968,1,-0.26,J-D,-0.08,1968/1/1,-,1
Global,1969,1,-0.11,J-D,0.05,1969/1/1,-,1
Global,1970,1,0.08,J-D,0.03,1970/1/1,-,1
Global,1971,1,-0.02,J-D,-0.08,1971/1/1,-,1
Global,1972,1,-0.22,J-D,0.01,1972/1/1,-,1
Global,1973,1,0.29,J-D,0.16,1973/1/1,-,1
Global,1974,1,-0.1,J-D,-0.07,1974/1/1,-,1
Global,1975,1,0.1,J-D,-0.01,1975/1/1,-,1
Global,1976,1,-0.03,J-D,-0.1,1976/1/1,-,1
Global,1977,1,0.18,J-D,0.18,1977/1/1,-,1
Global,1978,1,0.06,J-D,0.07,1978/1/1,-,1
Global,1979,1,0.08,J-D,0.16,1979/1/1,-,1
Global,1980,1,0.3,J-D,0.26,1980/1/1,-,1
Global,1981,1,0.53,J-D,0.32,1981/1/1,-,1
Global,1982,1,0.05,J-D,0.14,1982/1/1,-,1
Global,1983,1,0.53,J-D,0.31,1983/1/1,-,1
Global,1984,1,0.31,J-D,0.16,1984/1/1,-,1
Global,1985,1,0.22,J-D,0.12,1985/1/1,-,1
Global,1986,1,0.26,J-D,0.18,1986/1/1,-,1
Global,1987,1,0.32,J-D,0.32,1987/1/1,-,1
Global,1988,1,0.57,J-D,0.39,1988/1/1,-,1
Global,1989,1,0.12,J-D,0.27,1989/1/1,-,1
Global,1990,1,0.42,J-D,0.45,1990/1/1,-,1
Global,1991,1,0.43,J-D,0.41,1991/1/1,-,1
Global,1992,1,0.47,J-D,0.22,1992/1/1,-,1
Global,1993,1,0.35,J-D,0.23,1993/1/1,-,1
Global,1994,1,0.26,J-D,0.32,1994/1/1,-,1
Global,1995,1,0.52,J-D,0.45,1995/1/1,-,1
Global,1996,1,0.24,J-D,0.33,1996/1/1,-,1
Global,1997,1,0.3,J-D,0.46,1997/1/1,-,1
Global,1998,1,0.58,J-D,0.61,1998/1/1,-,1
Global,1999,1,0.49,J-D,0.38,1999/1/1,-,1
Global,2000,1,0.25,J-D,0.39,2000/1/1,-,1
Global,2001,1,0.46,J-D,0.54,2001/1/1,-,1
Global,2002,1,0.78,J-D,0.63,2002/1/1,-,1
Global,2003,1,0.75,J-D,0.62,2003/1/1,-,1
Global,2004,1,0.58,J-D,0.54,2004/1/1,-,1
Global,2005,1,0.75,J-D,0.68,2005/1/1,-,1
Global,2006,1,0.57,J-D,0.64,2006/1/1,-,1
Global,2007,1,1.03,J-D,0.67,2007/1/1,-,1
Global,2008,1,0.31,J-D,0.55,2008/1/1,-,1
Global,2009,1,0.65,J-D,0.66,2009/1/1,-,1
Global,2010,1,0.75,J-D,0.72,2010/1/1,-,1
Global,2011,1,0.52,J-D,0.61,2011/1/1,-,1
Global,2012,1,0.49,J-D,0.65,2012/1/1,-,1
Global,2013,1,0.71,J-D,0.68,2013/1/1,-,1
Global,2014,1,0.76,J-D,0.75,2014/1/1,-,1
Global,2015,1,0.85,J-D,0.9,2015/1/1,-,1
Global,2016,1,1.17,J-D,1.02,2016/1/1,-,1
Global,2017,1,1.03,J-D,0.93,2017/1/1,-,1
Global,2018,1,0.82,J-D,0.85,2018/1/1,-,1
Global,2019,1,0.94,J-D,0.99,2019/1/1,-,1
Global,2020,1,1.17,J-D,1.02,2020/1/1,-,1
Northern,1880,1,-0.34,J-D,-0.27,1880-1-1,-,1
Northern,1881,1,-0.3,J-D,-0.16,1881-1-1,-,1
Northern,1882,1,0.28,J-D,-0.2,1882-1-1,-,1
Northern,1883,1,-0.56,J-D,-0.26,1883-1-1,-,1
Northern,1884,1,-0.16,J-D,-0.42,1884-1-1,-,1
Northern,1885,1,-1,J-D,-0.42,1885-1-1,-,1
Northern,1886,1,-0.74,J-D,-0.42,1886-1-1,-,1
Northern,1887,1,-1.07,J-D,-0.42,1887-1-1,-,1
Northern,1888,1,-0.48,J-D,-0.22,1888-1-1,-,1
Northern,1889,1,-0.26,J-D,-0.17,1889-1-1,-,1
Northern,1890,1,-0.63,J-D,-0.38,1890-1-1,-,1
Northern,1891,1,-0.47,J-D,-0.26,1891-1-1,-,1
Northern,1892,1,-0.49,J-D,-0.39,1892-1-1,-,1
Northern,1893,1,-1.52,J-D,-0.47,1893-1-1,-,1
Northern,1894,1,-0.91,J-D,-0.39,1894-1-1,-,1
Northern,1895,1,-0.69,J-D,-0.3,1895-1-1,-,1
Northern,1896,1,-0.35,J-D,-0.19,1896-1-1,-,1
Northern,1897,1,-0.4,J-D,-0.16,1897-1-1,-,1
Northern,1898,1,0.07,J-D,-0.27,1898-1-1,-,1
Northern,1899,1,-0.11,J-D,-0.2,1899-1-1,-,1
Northern,1900,1,-0.6,J-D,-0.08,1900/1/1,-,1
Northern,1901,1,-0.32,J-D,-0.11,1901/1/1,-,1
Northern,1902,1,-0.15,J-D,-0.31,1902/1/1,-,1
Northern,1903,1,-0.2,J-D,-0.36,1903/1/1,-,1
Northern,1904,1,-0.76,J-D,-0.47,1904/1/1,-,1
Northern,1905,1,-0.41,J-D,-0.28,1905/1/1,-,1
Northern,1906,1,-0.55,J-D,-0.23,1906/1/1,-,1
Northern,1907,1,-0.57,J-D,-0.46,1907/1/1,-,1
Northern,1908,1,-0.53,J-D,-0.45,1908/1/1,-,1
Northern,1909,1,-0.92,J-D,-0.48,1909/1/1,-,1
Northern,1910,1,-0.35,J-D,-0.43,1910/1/1,-,1
Northern,1911,1,-0.69,J-D,-0.41,1911/1/1,-,1
Northern,1912,1,-0.34,J-D,-0.45,1912/1/1,-,1
Northern,1913,1,-0.55,J-D,-0.41,1913/1/1,-,1
Northern,1914,1,0.18,J-D,-0.18,1914/1/1,-,1
Northern,1915,1,-0.26,J-D,-0.13,1915/1/1,-,1
Northern,1916,1,-0.08,J-D,-0.41,1916/1/1,-,1
Northern,1917,1,-0.53,J-D,-0.57,1917/1/1,-,1
Northern,1918,1,-0.69,J-D,-0.39,1918/1/1,-,1
Northern,1919,1,-0.37,J-D,-0.34,1919/1/1,-,1
Northern,1920,1,-0.15,J-D,-0.3,1920/1/1,-,1
Northern,1921,1,0.19,J-D,-0.1,1921/1/1,-,1
Northern,1922,1,-0.37,J-D,-0.27,1922/1/1,-,1
Northern,1923,1,-0.18,J-D,-0.21,1923/1/1,-,1
Northern,1924,1,-0.28,J-D,-0.18,1924/1/1,-,1
Northern,1925,1,-0.28,J-D,-0.13,1925/1/1,-,1
Northern,1926,1,0.53,J-D,0.02,1926/1/1,-,1
Northern,1927,1,-0.28,J-D,-0.13,1927/1/1,-,1
Northern,1928,1,0.27,J-D,-0.1,1928/1/1,-,1
Northern,1929,1,-0.56,J-D,-0.33,1929/1/1,-,1
Northern,1930,1,-0.11,J-D,-0.01,1930/1/1,-,1
Northern,1931,1,0.01,J-D,0.05,1931/1/1,-,1
Northern,1932,1,0.39,J-D,-0.05,1932/1/1,-,1
Northern,1933,1,-0.18,J-D,-0.25,1933/1/1,-,1
Northern,1934,1,-0.15,J-D,0,1934/1/1,-,1
Northern,1935,1,-0.39,J-D,-0.09,1935/1/1,-,1
Northern,1936,1,-0.29,J-D,-0.03,1936/1/1,-,1
Northern,1937,1,0.09,J-D,0.12,1937/1/1,-,1
Northern,1938,1,0.35,J-D,0.16,1938/1/1,-,1
Northern,1939,1,0.03,J-D,0.09,1939/1/1,-,1
Northern,1940,1,-0.1,J-D,0.18,1940/1/1,-,1
Northern,1941,1,0.18,J-D,0.23,1941/1/1,-,1
Northern,1942,1,0.4,J-D,0.13,1942/1/1,-,1
Northern,1943,1,-0.1,J-D,0.18,1943/1/1,-,1
Northern,1944,1,0.62,J-D,0.27,1944/1/1,-,1
Northern,1945,1,0.11,J-D,0.1,1945/1/1,-,1
Northern,1946,1,0.34,J-D,0.03,1946/1/1,-,1
Northern,1947,1,-0.04,J-D,0.08,1947/1/1,-,1
Northern,1948,1,0.3,J-D,-0.02,1948/1/1,-,1
Northern,1949,1,0.23,J-D,-0.03,1949/1/1,-,1
Northern,1950,1,-0.29,J-D,-0.15,1950/1/1,-,1
Northern,1951,1,-0.36,J-D,0.04,1951/1/1,-,1
Northern,1952,1,0.17,J-D,0.06,1952/1/1,-,1
Northern,1953,1,0.24,J-D,0.24,1953/1/1,-,1
Northern,1954,1,-0.24,J-D,-0.02,1954/1/1,-,1
Northern,1955,1,0.42,J-D,-0.09,1955/1/1,-,1
Northern,1956,1,-0.04,J-D,-0.23,1956/1/1,-,1
Northern,1957,1,-0.14,J-D,0.04,1957/1/1,-,1
Northern,1958,1,0.68,J-D,0.15,1958/1/1,-,1
Northern,1959,1,0.24,J-D,0.12,1959/1/1,-,1
Northern,1960,1,0.15,J-D,0.08,1960/1/1,-,1
